@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute outputs-1 numeric

@data
3790,'2019/02/12 12:39:54:365',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3791,'2019/02/12 12:39:54:375',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3792,'2019/02/12 12:39:54:387',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3793,'2019/02/12 12:39:54:397',6,4.02878,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,4.18397,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0
3794,'2019/02/12 12:39:54:408',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3795,'2019/02/12 12:39:54:420',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3796,'2019/02/12 12:39:54:430',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3797,'2019/02/12 12:39:54:441',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3798,'2019/02/12 12:39:54:453',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3799,'2019/02/12 12:39:54:463',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3800,'2019/02/12 12:39:54:475',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3801,'2019/02/12 12:39:54:487',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3802,'2019/02/12 12:39:54:497',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3803,'2019/02/12 12:39:54:508',6,1.313957,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,2.051296,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,0
3804,'2019/02/12 12:39:54:520',6,0.436563,0.938603,1.40524,0.776774,0.303935,0.589694,7.409034,0.640133,1.054764,0.218796,2.200949,2.263649,3.05182,1.253483,1.220508,0.601361,0.866851,0.610018,0.827279,1.500331,0
